chromosome	start.pos	end.pos	CNt	A	B
1	826794	34885465	2	1	1
1	34987448	119419587	5	3	2
1	119422460	143185224	3	NA	NA
1	143193143	143264622	0	0	0
1	143264771	161753104	3	2	1
1	161792260	247200077	5	3	2
1	247256349	248856451	3	NA	NA
2	243558	1649550	5	NA	NA
2	1654355	12740561	6	NA	NA
2	15178112	42326200	7	NA	NA
2	42329884	67409924	5	NA	NA
2	68125304	85630812	5	NA	NA
2	85847911	169701555	4	2	2
2	169735461	206445363	4	3	1
2	206557439	241897327	4	2	2
3	326067	141278433	4	2	2
3	141287304	197951297	6	4	2
4	53355	78935111	4	2	2
4	79325433	190179738	2	2	0
5	155309	6737552	3	NA	NA
5	7414633	21461772	5	NA	NA
5	21751941	68295470	5	3	2
5	68297455	103276265	1	1	0
5	103559119	180851422	3	3	0
6	203509	29101239	5	3	2
6	29101487	54149041	3	2	1
6	54160446	129638496	5	3	2
6	129861170	170580130	1	1	0
7	290746	1157616	3	NA	NA
7	1158139	6824679	2	NA	NA
7	7096470	38273577	4	NA	NA
7	38291815	64260933	2	NA	NA
7	64266111	82826609	4	NA	NA
7	82835720	100099990	4	NA	NA
7	100104148	102469631	2	1	1
7	102496150	140459020	4	NA	NA
7	140555725	152273846	3	2	1
7	152273881	159059256	3	NA	NA
8	233133	81758199	4	2	2
8	81803137	99136743	1	1	0
8	99274342	112224833	4	NA	NA
8	112237244	138655877	5	NA	NA
8	138660499	145003153	4	NA	NA
9	286644	22029498	1	1	0
9	22451187	91298035	3	NA	NA
9	91409737	125003165	1	1	0
9	125055956	137039850	2	NA	NA
9	137096242	138078243	2	NA	NA
23	359882	130627954	2	1	1
23	130688931	155116769	4	NA	NA
